,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
36,361.0,372.0,497.0,276.0,677.0,597.0,2060.0,444.0,354.0,225.0,517.0,177.0,325.0,369.0,597.0,344.0
37,358.0,378.0,541.0,268.0,650.0,624.0,2147.0,461.0,349.0,221.0,478.0,176.0,326.0,326.0,605.0,284.0
38,353.0,295.0,532.0,246.0,720.0,528.0,2184.0,467.0,305.0,215.0,538.0,156.0,343.0,325.0,681.0,304.0
39,369.0,312.0,520.0,258.0,695.0,529.0,2306.0,476.0,326.0,176.0,489.0,152.0,368.0,287.0,675.0,254.0
40,359.0,281.0,535.0,223.0,727.0,510.0,2339.0,489.0,282.0,149.0,499.0,139.0,349.0,290.0,711.0,310.0
41,358.0,265.0,556.0,219.0,743.0,472.0,2366.0,500.0,289.0,133.0,478.0,130.0,331.0,286.0,785.0,281.0
42,348.0,201.0,579.0,225.0,758.0,454.0,2480.0,518.0,267.0,112.0,479.0,133.0,329.0,205.0,803.0,301.0
43,354.0,201.0,593.0,209.0,756.0,394.0,2539.0,474.0,252.0,111.0,474.0,142.0,317.0,224.0,862.0,290.0
44,363.0,185.0,566.0,197.0,808.0,406.0,2568.0,489.0,213.0,119.0,463.0,110.0,349.0,187.0,901.0,268.0
45,376.0,179.0,596.0,202.0,768.0,381.0,2586.0,502.0,220.0,118.0,444.0,110.0,364.0,176.0,901.0,269.0
46,352.0,140.0,582.0,184.0,810.0,356.0,2607.0,475.0,234.0,104.0,478.0,121.0,353.0,160.0,972.0,264.0
47,352.0,138.0,641.0,193.0,763.0,352.0,2554.0,511.0,213.0,99.0,432.0,118.0,341.0,178.0,1037.0,270.0
48,379.0,155.0,642.0,216.0,809.0,348.0,2452.0,522.0,223.0,104.0,453.0,130.0,360.0,172.0,968.0,259.0
49,347.0,142.0,638.0,185.0,795.0,315.0,2578.0,444.0,241.0,101.0,401.0,102.0,398.0,159.0,1067.0,279.0
